id,holiday,date,observed_date
1,New Year's Day,2010-01-01,2010-01-01
2,Martin Luther King Jr. Day,2010-01-18,2010-01-18
3,Washington's Birthday,2010-02-15,2010-02-15
4,Memorial Day,2010-05-31,2010-05-31
5,Independence Day,2010-07-04,2010-07-05
6,Labor Day,2010-09-06,2010-09-06
7,Columbus Day,2010-10-11,2010-10-11
8,Veterans Day,2010-11-11,2010-11-11
9,Thanksgiving Day,2010-11-25,2010-11-25
10,Christmas Day,2010-12-25,2010-12-24
11,New Year's Day,2011-01-01,2010-12-31
12,Martin Luther King Jr. Day,2011-01-17,2011-01-17
13,Washington's Birthday,2011-02-21,2011-02-21
14,Memorial Day,2011-05-30,2011-05-30
15,Independence Day,2011-07-04,2011-07-04
16,Labor Day,2011-09-05,2011-09-05
17,Columbus Day,2011-10-10,2011-10-10
18,Veterans Day,2011-11-11,2011-11-11
19,Thanksgiving Day,2011-11-24,2011-11-24
20,Christmas Day,2011-12-25,2011-12-26
21,New Year's Day,2012-01-01,2012-01-02
22,Martin Luther King Jr. Day,2012-01-16,2012-01-16
23,Washington's Birthday,2012-02-20,2012-02-20
24,Memorial Day,2012-05-28,2012-05-28
25,Independence Day,2012-07-04,2012-07-04
26,Labor Day,2012-09-03,2012-09-03
27,Columbus Day,2012-10-08,2012-10-08
28,Veterans Day,2012-11-11,2012-11-12
29,Thanksgiving Day,2012-11-22,2012-11-22
30,Christmas Day,2012-12-25,2012-12-25
31,New Year's Day,2013-01-01,2013-01-01
32,Martin Luther King Jr. Day,2013-01-21,2013-01-21
33,Washington's Birthday,2013-02-18,2013-02-18
34,Memorial Day,2013-05-27,2013-05-27
35,Independence Day,2013-07-04,2013-07-04
36,Labor Day,2013-09-02,2013-09-02
37,Columbus Day,2013-10-14,2013-10-14
38,Veterans Day,2013-11-11,2013-11-11
39,Thanksgiving Day,2013-11-28,2013-11-28
40,Christmas Day,2013-12-25,2013-12-25
41,New Year's Day,2014-01-01,2014-01-01
42,Martin Luther King Jr. Day,2014-01-20,2014-01-20
43,Washington's Birthday,2014-02-17,2014-02-17
44,Memorial Day,2014-05-26,2014-05-26
45,Independence Day,2014-07-04,2014-07-04
46,Labor Day,2014-09-01,2014-09-01
47,Columbus Day,2014-10-13,2014-10-13
48,Veterans Day,2014-11-11,2014-11-11
49,Thanksgiving Day,2014-11-27,2014-11-27
50,Christmas Day,2014-12-25,2014-12-25
51,New Year's Day,2015-01-01,2015-01-01
52,Martin Luther King Jr. Day,2015-01-19,2015-01-19
53,Washington's Birthday,2015-02-16,2015-02-16
54,Memorial Day,2015-05-25,2015-05-25
55,Independence Day,2015-07-04,2015-07-03
56,Labor Day,2015-09-07,2015-09-07
57,Columbus Day,2015-10-12,2015-10-12
58,Veterans Day,2015-11-11,2015-11-11
59,Thanksgiving Day,2015-11-26,2015-11-26
60,Christmas Day,2015-12-25,2015-12-25
61,New Year's Day,2016-01-01,2016-01-01
62,Martin Luther King Jr. Day,2016-01-18,2016-01-18
63,Washington's Birthday,2016-02-15,2016-02-15
64,Memorial Day,2016-05-30,2016-05-30
65,Independence Day,2016-07-04,2016-07-04
66,Labor Day,2016-09-05,2016-09-05
67,Columbus Day,2016-10-10,2016-10-10
68,Veterans Day,2016-11-11,2016-11-11
69,Thanksgiving Day,2016-11-24,2016-11-24
70,Christmas Day,2016-12-25,2016-12-26
71,New Year's Day,2017-01-01,2017-01-02
72,Martin Luther King Jr. Day,2017-01-16,2017-01-16
73,Washington's Birthday,2017-02-20,2017-02-20
74,Memorial Day,2017-05-29,2017-05-29
75,Independence Day,2017-07-04,2017-07-04
76,Labor Day,2017-09-04,2017-09-04
77,Columbus Day,2017-10-09,2017-10-09
78,Veterans Day,2017-11-11,2017-11-10
79,Thanksgiving Day,2017-11-23,2017-11-23
